Coin,Target,Model,R2,MSE,MAE,Mean,Std,Var
XRP,percentChange60d,RandomForest,0.9285,1.2736,0.8585,4.3446,4.0298,16.2393
XRP,percentChange90d,LinearRegression,0.7396,14.8411,2.9098,-6.3521,6.4905,42.1271
XRP,percentChange90d,KNN,0.9081,5.2380,1.3489,-6.1389,7.5145,56.4676
XRP,percentChange90d,SVM,0.8837,6.6270,1.4382,-6.2440,6.9096,47.7428
XRP,percentChange90d,DecisionTree,0.9163,4.7722,1.3450,-6.0201,7.2352,52.3485
XRP,percentChange90d,RandomForest,0.9095,5.1595,1.3704,-5.9799,7.2540,52.6210
Ethereum,price,LinearRegression,0.2031,3808.0829,47.5092,2540.1595,37.0227,1370.6835
Ethereum,price,KNN,0.9394,289.6935,10.7980,2543.8743,68.6006,4706.0392
Ethereum,price,SVM,0.3504,3104.1795,38.0892,2543.5924,30.9267,956.4630
Ethereum,price,DecisionTree,0.9544,217.8260,10.6092,2543.9490,68.0708,4633.6380
Ethereum,price,RandomForest,0.9593,194.3268,9.3272,2544.2133,68.4259,4682.1093
Ethereum,volumeChange24h,LinearRegression,0.6340,197.4344,10.3196,-8.4455,19.0548,363.0838
Ethereum,volumeChange24h,KNN,0.9449,29.7246,3.7019,-8.8548,23.1135,534.2355
Ethereum,volumeChange24h,SVM,0.7083,157.3829,8.4705,-11.4149,16.4850,271.7567
Ethereum,volumeChange24h,DecisionTree,0.9480,28.0581,3.7363,-9.2239,22.5887,510.2479
Ethereum,volumeChange24h,RandomForest,0.9711,15.5664,3.0276,-9.0898,22.7864,519.2205
Ethereum,percentChange1h,LinearRegression,0.0296,0.6810,0.6246,-0.1630,0.2375,0.0564
Ethereum,percentChange1h,KNN,0.3616,0.4480,0.4656,-0.1304,0.6747,0.4552
Ethereum,percentChange1h,SVM,0.1130,0.6225,0.5739,-0.0694,0.2456,0.0603
Ethereum,percentChange1h,DecisionTree,0.2931,0.4961,0.5456,-0.1291,0.5727,0.3280
